Date,Team1,Team1_Runs,Team2,Team2_Runs
"Friday, May 24, 2024",Atlanta Braves,5,Pittsburgh Pirates,11
"Friday, May 24, 2024",New York Yankees,8,San Diego Padres,0
"Friday, May 24, 2024",Kansas City Royals,8,Tampa Bay Rays,1
"Friday, May 24, 2024",Seattle Mariners,1,Washington Nationals,6
"Saturday, May 25, 2024",Cleveland Guardians,4,Los Angeles Angels,3
"Saturday, May 25, 2024",Miami Marlins,2,Arizona D'Backs,3
"Saturday, May 25, 2024",Milwaukee Brewers,6,Boston Red Sox,3
"Saturday, May 25, 2024",Baltimore Orioles,5,Chicago White Sox,3
"Saturday, May 25, 2024",Los Angeles Dodgers,1,Cincinnati Reds,3
"Saturday, May 25, 2024",Philadelphia Phillies,8,Colorado Rockies,4
"Saturday, May 25, 2024",Toronto Blue Jays,1,Detroit Tigers,2
"Saturday, May 25, 2024",Texas Rangers,3,Minnesota Twins,5
"Saturday, May 25, 2024",San Francisco Giants,7,New York Mets,2
"Saturday, May 25, 2024",Houston Astros,1,Oakland Athletics,3
"Saturday, May 25, 2024",Atlanta Braves,1,Pittsburgh Pirates,4
"Saturday, May 25, 2024",New York Yankees,4,San Diego Padres,1
"Saturday, May 25, 2024",Chicago Cubs,6,St. Louis Cardinals,7
"Saturday, May 25, 2024",Kansas City Royals,7,Tampa Bay Rays,4
"Saturday, May 25, 2024",Seattle Mariners,1,Washington Nationals,3
"Sunday, May 26, 2024",Cleveland Guardians,5,Los Angeles Angels,4
"Sunday, May 26, 2024",Miami Marlins,3,Arizona D'Backs,1
"Sunday, May 26, 2024",Milwaukee Brewers,1,Boston Red Sox,2
"Sunday, May 26, 2024",Baltimore Orioles,4,Chicago White Sox,1
"Sunday, May 26, 2024",Los Angeles Dodgers,1,Cincinnati Reds,4
"Sunday, May 26, 2024",Philadelphia Phillies,2,Colorado Rockies,5
"Sunday, May 26, 2024",Toronto Blue Jays,11,Detroit Tigers,14
"Sunday, May 26, 2024",Texas Rangers,6,Minnesota Twins,2
"Sunday, May 26, 2024",San Francisco Giants,3,New York Mets,4
"Sunday, May 26, 2024",Houston Astros,5,Oakland Athletics,2
"Sunday, May 26, 2024",Atlanta Braves,8,Pittsburgh Pirates,1
"Sunday, May 26, 2024",New York Yankees,2,San Diego Padres,5
"Sunday, May 26, 2024",Chicago Cubs,3,St. Louis Cardinals,4
"Sunday, May 26, 2024",Kansas City Royals,1,Tampa Bay Rays,4
"Sunday, May 26, 2024",Seattle Mariners,9,Washington Nationals,5
"Monday, May 27, 2024",Washington Nationals,8,Atlanta Braves,4
"Monday, May 27, 2024",Boston Red Sox,3,Baltimore Orioles,11
"Monday, May 27, 2024",Toronto Blue Jays,5,Chicago White Sox,1
"Monday, May 27, 2024",St. Louis Cardinals,1,Cincinnati Reds,3
"Monday, May 27, 2024",Cleveland Guardians,6,Colorado Rockies,8
"Monday, May 27, 2024",Chicago Cubs,1,Milwaukee Brewers,5
"Monday, May 27, 2024",Kansas City Royals,5,Minnesota Twins,6
"Monday, May 27, 2024",Miami Marlins,1,San Diego Padres,2
"Monday, May 27, 2024",Houston Astros,2,Seattle Mariners,3
"Monday, May 27, 2024",Philadelphia Phillies,4,San Francisco Giants,8
"Tuesday, May 28, 2024",New York Yankees,3,Los Angeles Angels,4
"Tuesday, May 28, 2024",Washington Nationals,0,Atlanta Braves,2
"Tuesday, May 28, 2024",Boston Red Sox,8,Baltimore Orioles,3
"Tuesday, May 28, 2024",Toronto Blue Jays,7,Chicago White Sox,2
"Tuesday, May 28, 2024",St. Louis Cardinals,7,Cincinnati Reds,1
"Tuesday, May 28, 2024",Cleveland Guardians,13,Colorado Rockies,7
"Tuesday, May 28, 2024",Chicago Cubs,6,Milwaukee Brewers,3
"Tuesday, May 28, 2024",Kansas City Royals,2,Minnesota Twins,4
"Tuesday, May 28, 2024",Los Angeles Dodgers,5,New York Mets,2
"Tuesday, May 28, 2024",Los Angeles Dodgers,3,New York Mets,0
"Tuesday, May 28, 2024",Miami Marlins,0,San Diego Padres,4
"Tuesday, May 28, 2024",Houston Astros,2,Seattle Mariners,4
"Tuesday, May 28, 2024",Philadelphia Phillies,0,San Francisco Giants,1
"Tuesday, May 28, 2024",Oakland Athletics,3,Tampa Bay Rays,0
"Tuesday, May 28, 2024",Arizona D'Backs,2,Texas Rangers,4
"Wednesday, May 29, 2024",New York Yankees,2,Los Angeles Angels,1
"Wednesday, May 29, 2024",Washington Nationals,7,Atlanta Braves,2
"Wednesday, May 29, 2024",Boston Red Sox,1,Baltimore Orioles,6
"Wednesday, May 29, 2024",Toronto Blue Jays,3,Chicago White Sox,1
"Wednesday, May 29, 2024",St. Louis Cardinals,5,Cincinnati Reds,3
"Wednesday, May 29, 2024",Cleveland Guardians,4,Colorado Rockies,7
"Wednesday, May 29, 2024",Pittsburgh Pirates,0,Detroit Tigers,8
"Wednesday, May 29, 2024",Pittsburgh Pirates,10,Detroit Tigers,2
"Wednesday, May 29, 2024",Chicago Cubs,6,Milwaukee Brewers,10
"Wednesday, May 29, 2024",Kansas City Royals,6,Minnesota Twins,1
"Wednesday, May 29, 2024",Los Angeles Dodgers,10,New York Mets,3
"Wednesday, May 29, 2024",Miami Marlins,9,San Diego Padres,1
"Wednesday, May 29, 2024",Houston Astros,1,Seattle Mariners,2
"Wednesday, May 29, 2024",Philadelphia Phillies,6,San Francisco Giants,1
"Wednesday, May 29, 2024",Oakland Athletics,3,Tampa Bay Rays,4
"Wednesday, May 29, 2024",Arizona D'Backs,1,Texas Rangers,6
"Thursday, May 30, 2024",New York Yankees,8,Los Angeles Angels,3
"Thursday, May 30, 2024",Washington Nationals,3,Atlanta Braves,1
"Thursday, May 30, 2024",Detroit Tigers,5,Boston Red Sox,0
"Thursday, May 30, 2024",Chicago Cubs,4,Milwaukee Brewers,6
"Thursday, May 30, 2024",Kansas City Royals,6,Minnesota Twins,7
"Thursday, May 30, 2024",Arizona D'Backs,2,New York Mets,3
"Thursday, May 30, 2024",Houston Astros,4,Seattle Mariners,0
"Thursday, May 30, 2024",Oakland Athletics,5,Tampa Bay Rays,6
"Friday, May 31, 2024",Oakland Athletics,2,Atlanta Braves,4
"Friday, May 31, 2024",Tampa Bay Rays,1,Baltimore Orioles,3
"Friday, May 31, 2024",Detroit Tigers,3,Boston Red Sox,7
"Friday, May 31, 2024",Cincinnati Reds,5,Chicago Cubs,4
"Friday, May 31, 2024",Washington Nationals,1,Cleveland Guardians,7
"Friday, May 31, 2024",Minnesota Twins,6,Houston Astros,1
"Friday, May 31, 2024",San Diego Padres,11,Kansas City Royals,8
"Friday, May 31, 2024",Colorado Rockies,4,Los Angeles Dodgers,1
"Friday, May 31, 2024",Texas Rangers,2,Miami Marlins,8
"Friday, May 31, 2024",Chicago White Sox,5,Milwaukee Brewers,12
"Friday, May 31, 2024",Arizona D'Backs,9,New York Mets,10
"Friday, May 31, 2024",St. Louis Cardinals,2,Philadelphia Phillies,4
"Friday, May 31, 2024",Los Angeles Angels,4,Seattle Mariners,5
"Friday, May 31, 2024",New York Yankees,6,San Francisco Giants,2
"Friday, May 31, 2024",Pittsburgh Pirates,3,Toronto Blue Jays,5
"Saturday, June 1, 2024",Oakland Athletics,11,Atlanta Braves,9
"Saturday, June 1, 2024",Tampa Bay Rays,5,Baltimore Orioles,9
"Saturday, June 1, 2024",Detroit Tigers,3,Boston Red Sox,6
"Saturday, June 1, 2024",Cincinnati Reds,5,Chicago Cubs,7
"Saturday, June 1, 2024",Washington Nationals,2,Cleveland Guardians,3
"Saturday, June 1, 2024",Minnesota Twins,2,Houston Astros,5
"Saturday, June 1, 2024",San Diego Padres,7,Kansas City Royals,3
"Saturday, June 1, 2024",Colorado Rockies,1,Los Angeles Dodgers,4
"Saturday, June 1, 2024",Texas Rangers,7,Miami Marlins,0
"Saturday, June 1, 2024",Chicago White Sox,3,Milwaukee Brewers,4
"Saturday, June 1, 2024",Arizona D'Backs,10,New York Mets,5
"Saturday, June 1, 2024",St. Louis Cardinals,1,Philadelphia Phillies,6
"Saturday, June 1, 2024",Los Angeles Angels,0,Seattle Mariners,9
"Saturday, June 1, 2024",New York Yankees,7,San Francisco Giants,3
"Saturday, June 1, 2024",Pittsburgh Pirates,8,Toronto Blue Jays,1
"Sunday, June 2, 2024",Oakland Athletics,1,Atlanta Braves,3
"Sunday, June 2, 2024",Tampa Bay Rays,4,Baltimore Orioles,3
"Sunday, June 2, 2024",Detroit Tigers,8,Boston Red Sox,4
"Sunday, June 2, 2024",Cincinnati Reds,5,Chicago Cubs,2
"Sunday, June 2, 2024",Washington Nationals,5,Cleveland Guardians,2
"Sunday, June 2, 2024",Minnesota Twins,4,Houston Astros,3
"Sunday, June 2, 2024",San Diego Padres,3,Kansas City Royals,4
"Sunday, June 2, 2024",Colorado Rockies,0,Los Angeles Dodgers,4
"Sunday, June 2, 2024",Texas Rangers,6,Miami Marlins,0
"Sunday, June 2, 2024",Chicago White Sox,3,Milwaukee Brewers,6
"Sunday, June 2, 2024",Arizona D'Backs,5,New York Mets,4
"Sunday, June 2, 2024",St. Louis Cardinals,5,Philadelphia Phillies,4
"Sunday, June 2, 2024",Los Angeles Angels,1,Seattle Mariners,5
"Sunday, June 2, 2024",New York Yankees,7,San Francisco Giants,5
"Sunday, June 2, 2024",Pittsburgh Pirates,4,Toronto Blue Jays,5
"Monday, June 3, 2024",San Diego Padres,1,Los Angeles Angels,2
"Monday, June 3, 2024",San Francisco Giants,2,Arizona D'Backs,4
"Monday, June 3, 2024",Cincinnati Reds,13,Colorado Rockies,3
"Monday, June 3, 2024",St. Louis Cardinals,4,Houston Astros,7
"Monday, June 3, 2024",Milwaukee Brewers,1,Philadelphia Phillies,3
"Monday, June 3, 2024",Detroit Tigers,2,Texas Rangers,1
"Monday, June 3, 2024",Baltimore Orioles,7,Toronto Blue Jays,2
"Monday, June 3, 2024",New York Mets,8,Washington Nationals,7
"Tuesday, June 4, 2024",San Diego Padres,2,Los Angeles Angels,4
"Tuesday, June 4, 2024",San Francisco Giants,5,Arizona D'Backs,8
"Tuesday, June 4, 2024",Atlanta Braves,8,Boston Red Sox,3
"Tuesday, June 4, 2024",Chicago White Sox,6,Chicago Cubs,7
"Tuesday, June 4, 2024",Kansas City Royals,5,Cleveland Guardians,8
"Tuesday, June 4, 2024",Cincinnati Reds,4,Colorado Rockies,1
"Tuesday, June 4, 2024",St. Louis Cardinals,5,Houston Astros,8
"Tuesday, June 4, 2024",Tampa Bay Rays,9,Miami Marlins,5
"Tuesday, June 4, 2024",Minnesota Twins,1,New York Yankees,5
"Tuesday, June 4, 2024",Seattle Mariners,4,Oakland Athletics,3
"Tuesday, June 4, 2024",Milwaukee Brewers,1,Philadelphia Phillies,2
"Tuesday, June 4, 2024",Los Angeles Dodgers,0,Pittsburgh Pirates,1
"Tuesday, June 4, 2024",Detroit Tigers,3,Texas Rangers,1
"Tuesday, June 4, 2024",Baltimore Orioles,10,Toronto Blue Jays,1
"Tuesday, June 4, 2024",New York Mets,6,Washington Nationals,3
"Wednesday, June 5, 2024",San Diego Padres,2,Los Angeles Angels,3
"Wednesday, June 5, 2024",San Francisco Giants,9,Arizona D'Backs,3
"Wednesday, June 5, 2024",Atlanta Braves,0,Boston Red Sox,9
"Wednesday, June 5, 2024",Chicago White Sox,6,Chicago Cubs,7
"Wednesday, June 5, 2024",Cincinnati Reds,12,Colorado Rockies,7
"Wednesday, June 5, 2024",St. Louis Cardinals,4,Houston Astros,2
"Wednesday, June 5, 2024",Tampa Bay Rays,5,Miami Marlins,3
"Wednesday, June 5, 2024",Minnesota Twins,5,New York Yankees,9
"Wednesday, June 5, 2024",Seattle Mariners,1,Oakland Athletics,2
"Wednesday, June 5, 2024",Milwaukee Brewers,0,Philadelphia Phillies,2
"Wednesday, June 5, 2024",Los Angeles Dodgers,6,Pittsburgh Pirates,10
"Wednesday, June 5, 2024",Detroit Tigers,1,Texas Rangers,9
"Wednesday, June 5, 2024",Baltimore Orioles,2,Toronto Blue Jays,3
"Wednesday, June 5, 2024",New York Mets,9,Washington Nationals,1
"Thursday, June 6, 2024",Boston Red Sox,14,Chicago White Sox,2
"Thursday, June 6, 2024",Chicago Cubs,4,Cincinnati Reds,8
"Thursday, June 6, 2024",Kansas City Royals,4,Cleveland Guardians,3
"Thursday, June 6, 2024",Minnesota Twins,5,New York Yankees,8
"Thursday, June 6, 2024",Seattle Mariners,3,Oakland Athletics,0
"Thursday, June 6, 2024",Los Angeles Dodgers,11,Pittsburgh Pirates,7
"Thursday, June 6, 2024",Arizona D'Backs,4,San Diego Padres,3
"Thursday, June 6, 2024",Colorado Rockies,3,St. Louis Cardinals,2
"Thursday, June 6, 2024",Baltimore Orioles,5,Toronto Blue Jays,6
"Thursday, June 6, 2024",Atlanta Braves,5,Washington Nationals,2
"Friday, June 7, 2024",Houston Astros,7,Los Angeles Angels,1
"Friday, June 7, 2024",Boston Red Sox,2,Chicago White Sox,7
"Friday, June 7, 2024",Chicago Cubs,2,Cincinnati Reds,3
"Friday, June 7, 2024",Milwaukee Brewers,10,Detroit Tigers,0
"Friday, June 7, 2024",Seattle Mariners,9,Kansas City Royals,10
"Friday, June 7, 2024",Cleveland Guardians,2,Miami Marlins,3
"Friday, June 7, 2024",Los Angeles Dodgers,2,New York Yankees,1
"Friday, June 7, 2024",Toronto Blue Jays,1,Oakland Athletics,2
"Friday, June 7, 2024",Minnesota Twins,0,Pittsburgh Pirates,3
"Friday, June 7, 2024",Arizona D'Backs,3,San Diego Padres,10
"Friday, June 7, 2024",Colorado Rockies,5,St. Louis Cardinals,8
"Friday, June 7, 2024",Baltimore Orioles,6,Tampa Bay Rays,3
"Friday, June 7, 2024",San Francisco Giants,5,Texas Rangers,2
"Friday, June 7, 2024",Atlanta Braves,1,Washington Nationals,2
"Saturday, June 8, 2024",Houston Astros,6,Los Angeles Angels,1
"Saturday, June 8, 2024",Boston Red Sox,1,Chicago White Sox,6
"Saturday, June 8, 2024",Chicago Cubs,3,Cincinnati Reds,4
"Saturday, June 8, 2024",Milwaukee Brewers,5,Detroit Tigers,4
"Saturday, June 8, 2024",Seattle Mariners,4,Kansas City Royals,8
"Saturday, June 8, 2024",Cleveland Guardians,8,Miami Marlins,0
"Saturday, June 8, 2024",Los Angeles Dodgers,11,New York Yankees,3
"Saturday, June 8, 2024",Philadelphia Phillies,7,New York Mets,2
"Saturday, June 8, 2024",Toronto Blue Jays,7,Oakland Athletics,0
"Saturday, June 8, 2024",Minnesota Twins,0,Pittsburgh Pirates,4
"Saturday, June 8, 2024",Arizona D'Backs,1,San Diego Padres,13
"Saturday, June 8, 2024",Colorado Rockies,6,St. Louis Cardinals,5
"Saturday, June 8, 2024",Baltimore Orioles,5,Tampa Bay Rays,0
"Saturday, June 8, 2024",San Francisco Giants,3,Texas Rangers,1
"Saturday, June 8, 2024",Atlanta Braves,3,Washington Nationals,7
"Sunday, June 9, 2024",Houston Astros,7,Los Angeles Angels,9
"Sunday, June 9, 2024",Boston Red Sox,6,Chicago White Sox,4
"Sunday, June 9, 2024",Chicago Cubs,4,Cincinnati Reds,2
"Sunday, June 9, 2024",Milwaukee Brewers,2,Detroit Tigers,10
"Sunday, June 9, 2024",Seattle Mariners,6,Kansas City Royals,5
"Sunday, June 9, 2024",Cleveland Guardians,6,Miami Marlins,3
"Sunday, June 9, 2024",Los Angeles Dodgers,4,New York Yankees,6
"Sunday, June 9, 2024",Toronto Blue Jays,6,Oakland Athletics,4
"Sunday, June 9, 2024",New York Mets,6,Philadelphia Phillies,5
"Sunday, June 9, 2024",Minnesota Twins,11,Pittsburgh Pirates,5
"Sunday, June 9, 2024",Arizona D'Backs,9,San Diego Padres,3
"Sunday, June 9, 2024",Colorado Rockies,1,St. Louis Cardinals,5
"Sunday, June 9, 2024",Baltimore Orioles,9,Tampa Bay Rays,2
"Sunday, June 9, 2024",San Francisco Giants,2,Texas Rangers,7
"Sunday, June 9, 2024",Atlanta Braves,5,Washington Nationals,8
"Monday, June 10, 2024",New York Yankees,4,Kansas City Royals,2
"Monday, June 10, 2024",Toronto Blue Jays,1,Milwaukee Brewers,3
"Monday, June 10, 2024",Colorado Rockies,0,Minnesota Twins,5
"Monday, June 10, 2024",Oakland Athletics,1,San Diego Padres,6
"Monday, June 10, 2024",Chicago White Sox,4,Seattle Mariners,8
"Monday, June 10, 2024",Houston Astros,3,San Francisco Giants,4
"Monday, June 10, 2024",Baltimore Orioles,5,Tampa Bay Rays,2
"Tuesday, June 11, 2024",Los Angeles Angels,4,Arizona D'Backs,9
"Tuesday, June 11, 2024",Atlanta Braves,0,Baltimore Orioles,4
"Tuesday, June 11, 2024",Philadelphia Phillies,4,Boston Red Sox,1
"Tuesday, June 11, 2024",Cleveland Guardians,5,Cincinnati Reds,3
"Tuesday, June 11, 2024",Washington Nationals,5,Detroit Tigers,4
"Tuesday, June 11, 2024",New York Yankees,10,Kansas City Royals,1
"Tuesday, June 11, 2024",Texas Rangers,2,Los Angeles Dodgers,15
"Tuesday, June 11, 2024",Toronto Blue Jays,3,Milwaukee Brewers,0
"Tuesday, June 11, 2024",Colorado Rockies,5,Minnesota Twins,4
"Tuesday, June 11, 2024",Miami Marlins,4,New York Mets,2
"Tuesday, June 11, 2024",Oakland Athletics,3,San Diego Padres,4
"Tuesday, June 11, 2024",Chicago White Sox,3,Seattle Mariners,4
"Tuesday, June 11, 2024",Houston Astros,3,San Francisco Giants,1
"Tuesday, June 11, 2024",Pittsburgh Pirates,2,St. Louis Cardinals,1
"Tuesday, June 11, 2024",Chicago Cubs,2,Tampa Bay Rays,5
"Wednesday, June 12, 2024",Los Angeles Angels,8,Arizona D'Backs,3
"Wednesday, June 12, 2024",Atlanta Braves,2,Baltimore Orioles,4
"Wednesday, June 12, 2024",Philadelphia Phillies,6,Boston Red Sox,8
"Wednesday, June 12, 2024",Cleveland Guardians,2,Cincinnati Reds,4
"Wednesday, June 12, 2024",Washington Nationals,7,Detroit Tigers,5
"Wednesday, June 12, 2024",New York Yankees,11,Kansas City Royals,5
"Wednesday, June 12, 2024",Texas Rangers,3,Los Angeles Dodgers,2
"Wednesday, June 12, 2024",Toronto Blue Jays,4,Milwaukee Brewers,5
"Wednesday, June 12, 2024",Colorado Rockies,9,Minnesota Twins,17
"Wednesday, June 12, 2024",Miami Marlins,4,New York Mets,10
"Wednesday, June 12, 2024",Oakland Athletics,4,San Diego Padres,5
"Wednesday, June 12, 2024",Chicago White Sox,1,Seattle Mariners,2
"Wednesday, June 12, 2024",Houston Astros,3,San Francisco Giants,5
"Wednesday, June 12, 2024",Pittsburgh Pirates,2,St. Louis Cardinals,4
"Wednesday, June 12, 2024",Chicago Cubs,4,Tampa Bay Rays,3
"Thursday, June 13, 2024",Los Angeles Angels,1,Arizona D'Backs,11
"Thursday, June 13, 2024",Atlanta Braves,6,Baltimore Orioles,3
"Thursday, June 13, 2024",Philadelphia Phillies,3,Boston Red Sox,9
"Thursday, June 13, 2024",Washington Nationals,2,Detroit Tigers,7
"Thursday, June 13, 2024",New York Yankees,3,Kansas City Royals,4
"Thursday, June 13, 2024",Texas Rangers,3,Los Angeles Dodgers,1
"Thursday, June 13, 2024",Oakland Athletics,2,Minnesota Twins,6
"Thursday, June 13, 2024",Miami Marlins,2,New York Mets,3
"Thursday, June 13, 2024",Chicago White Sox,3,Seattle Mariners,2
"Thursday, June 13, 2024",Pittsburgh Pirates,3,St. Louis Cardinals,4
"Thursday, June 13, 2024",Chicago Cubs,2,Tampa Bay Rays,3
"Friday, June 14, 2024",Chicago White Sox,1,Arizona D'Backs,7
"Friday, June 14, 2024",Tampa Bay Rays,3,Atlanta Braves,7
"Friday, June 14, 2024",Philadelphia Phillies,5,Baltimore Orioles,3
"Friday, June 14, 2024",New York Yankees,8,Boston Red Sox,1
"Friday, June 14, 2024",St. Louis Cardinals,3,Chicago Cubs,0
"Friday, June 14, 2024",Pittsburgh Pirates,5,Colorado Rockies,2
"Friday, June 14, 2024",Detroit Tigers,0,Houston Astros,4
"Friday, June 14, 2024",Kansas City Royals,3,Los Angeles Dodgers,4
"Friday, June 14, 2024",Cincinnati Reds,6,Milwaukee Brewers,5
"Friday, June 14, 2024",Oakland Athletics,5,Minnesota Twins,6
"Friday, June 14, 2024",San Diego Padres,1,New York Mets,2
"Friday, June 14, 2024",Texas Rangers,2,Seattle Mariners,3
"Friday, June 14, 2024",Los Angeles Angels,8,San Francisco Giants,6
"Friday, June 14, 2024",Cleveland Guardians,3,Toronto Blue Jays,1
"Friday, June 14, 2024",Miami Marlins,1,Washington Nationals,8
"Saturday, June 15, 2024",Chicago White Sox,9,Arizona D'Backs,2
"Saturday, June 15, 2024",Tampa Bay Rays,2,Atlanta Braves,9
"Saturday, June 15, 2024",Philadelphia Phillies,2,Baltimore Orioles,6
"Saturday, June 15, 2024",New York Yankees,4,Boston Red Sox,8
"Saturday, June 15, 2024",St. Louis Cardinals,1,Chicago Cubs,5
"Saturday, June 15, 2024",Pittsburgh Pirates,4,Colorado Rockies,16
"Saturday, June 15, 2024",Detroit Tigers,13,Houston Astros,5
"Saturday, June 15, 2024",Kansas City Royals,7,Los Angeles Dodgers,2
"Saturday, June 15, 2024",Cincinnati Reds,1,Milwaukee Brewers,3
"Saturday, June 15, 2024",San Diego Padres,1,New York Mets,5
"Saturday, June 15, 2024",Texas Rangers,5,Seattle Mariners,7
"Saturday, June 15, 2024",Los Angeles Angels,4,San Francisco Giants,3
"Saturday, June 15, 2024",Cleveland Guardians,0,Toronto Blue Jays,5
"Saturday, June 15, 2024",Miami Marlins,0,Washington Nationals,4
"Sunday, June 16, 2024",Chicago White Sox,5,Arizona D'Backs,12
"Sunday, June 16, 2024",Tampa Bay Rays,8,Atlanta Braves,6
"Sunday, June 16, 2024",Philadelphia Phillies,3,Baltimore Orioles,8
"Sunday, June 16, 2024",New York Yankees,3,Boston Red Sox,9
"Sunday, June 16, 2024",St. Louis Cardinals,2,Chicago Cubs,1
"Sunday, June 16, 2024",Pittsburgh Pirates,8,Colorado Rockies,2
"Sunday, June 16, 2024",Detroit Tigers,1,Houston Astros,4
"Sunday, June 16, 2024",Kansas City Royals,0,Los Angeles Dodgers,3
"Sunday, June 16, 2024",Cincinnati Reds,4,Milwaukee Brewers,5
"Sunday, June 16, 2024",Oakland Athletics,2,Minnesota Twins,6
"Sunday, June 16, 2024",Oakland Athletics,7,Minnesota Twins,8
"Sunday, June 16, 2024",San Diego Padres,6,New York Mets,11
"Sunday, June 16, 2024",Texas Rangers,0,Seattle Mariners,5
"Sunday, June 16, 2024",Los Angeles Angels,6,San Francisco Giants,13
"Sunday, June 16, 2024",Cleveland Guardians,6,Toronto Blue Jays,7
"Sunday, June 16, 2024",Miami Marlins,1,Washington Nationals,3
"Monday, June 17, 2024",Milwaukee Brewers,3,Los Angeles Angels,5
"Monday, June 17, 2024",Detroit Tigers,1,Atlanta Braves,2
"Monday, June 17, 2024",San Francisco Giants,7,Chicago Cubs,6
"Monday, June 17, 2024",Los Angeles Dodgers,9,Colorado Rockies,5
"Monday, June 17, 2024",St. Louis Cardinals,7,Miami Marlins,6
"Monday, June 17, 2024",San Diego Padres,2,Philadelphia Phillies,9
"Monday, June 17, 2024",Cincinnati Reds,1,Pittsburgh Pirates,4
"Monday, June 17, 2024",New York Mets,14,Texas Rangers,2
"Monday, June 17, 2024",Boston Red Sox,7,Toronto Blue Jays,3
"Tuesday, June 18, 2024",Milwaukee Brewers,6,Los Angeles Angels,3
"Tuesday, June 18, 2024",Detroit Tigers,1,Atlanta Braves,2
"Tuesday, June 18, 2024",Houston Astros,0,Chicago White Sox,2
"Tuesday, June 18, 2024",San Francisco Giants,2,Chicago Cubs,5
"Tuesday, June 18, 2024",Seattle Mariners,8,Cleveland Guardians,5
"Tuesday, June 18, 2024",Los Angeles Dodgers,11,Colorado Rockies,9
"Tuesday, June 18, 2024",St. Louis Cardinals,8,Miami Marlins,9
"Tuesday, June 18, 2024",Tampa Bay Rays,6,Minnesota Twins,7
"Tuesday, June 18, 2024",Baltimore Orioles,2,New York Yankees,4
"Tuesday, June 18, 2024",Kansas City Royals,5,Oakland Athletics,7
"Tuesday, June 18, 2024",San Diego Padres,3,Philadelphia Phillies,4
"Tuesday, June 18, 2024",Cincinnati Reds,2,Pittsburgh Pirates,1
"Tuesday, June 18, 2024",New York Mets,7,Texas Rangers,6
"Tuesday, June 18, 2024",Boston Red Sox,4,Toronto Blue Jays,3
"Tuesday, June 18, 2024",Arizona D'Backs,5,Washington Nationals,0
"Wednesday, June 19, 2024",Milwaukee Brewers,2,Los Angeles Angels,0
"Wednesday, June 19, 2024",Detroit Tigers,0,Atlanta Braves,7
"Wednesday, June 19, 2024",Houston Astros,4,Chicago White Sox,1
"Wednesday, June 19, 2024",San Francisco Giants,5,Chicago Cubs,6
"Wednesday, June 19, 2024",Seattle Mariners,0,Cleveland Guardians,8
"Wednesday, June 19, 2024",Los Angeles Dodgers,6,Colorado Rockies,7
"Wednesday, June 19, 2024",St. Louis Cardinals,3,Miami Marlins,4
"Wednesday, June 19, 2024",Tampa Bay Rays,3,Minnesota Twins,2
"Wednesday, June 19, 2024",Baltimore Orioles,7,New York Yankees,6
"Wednesday, June 19, 2024",Kansas City Royals,1,Oakland Athletics,5
"Wednesday, June 19, 2024",San Diego Padres,5,Philadelphia Phillies,2
"Wednesday, June 19, 2024",Cincinnati Reds,0,Pittsburgh Pirates,1
"Wednesday, June 19, 2024",New York Mets,3,Texas Rangers,5
"Wednesday, June 19, 2024",Boston Red Sox,7,Toronto Blue Jays,3
"Wednesday, June 19, 2024",Arizona D'Backs,1,Washington Nationals,3
"Thursday, June 20, 2024",Houston Astros,5,Chicago White Sox,3
"Thursday, June 20, 2024",Seattle Mariners,3,Cleveland Guardians,6
"Thursday, June 20, 2024",Los Angeles Dodgers,5,Colorado Rockies,3
"Thursday, June 20, 2024",Tampa Bay Rays,7,Minnesota Twins,6
"Thursday, June 20, 2024",Baltimore Orioles,17,New York Yankees,5
"Thursday, June 20, 2024",Kansas City Royals,3,Oakland Athletics,2
"Thursday, June 20, 2024",Milwaukee Brewers,6,San Diego Padres,7
"Thursday, June 20, 2024",San Francisco Giants,5,St. Louis Cardinals,6
"Thursday, June 20, 2024",Arizona D'Backs,5,Washington Nationals,2
"Friday, June 21, 2024",New York Mets,11,Chicago Cubs,1
"Friday, June 21, 2024",Boston Red Sox,2,Cincinnati Reds,5
"Friday, June 21, 2024",Toronto Blue Jays,1,Cleveland Guardians,7
"Friday, June 21, 2024",Washington Nationals,11,Colorado Rockies,5
"Friday, June 21, 2024",Chicago White Sox,1,Detroit Tigers,2
"Friday, June 21, 2024",Baltimore Orioles,11,Houston Astros,14
"Friday, June 21, 2024",Los Angeles Angels,3,Los Angeles Dodgers,2
"Friday, June 21, 2024",Seattle Mariners,2,Miami Marlins,3
"Friday, June 21, 2024",Atlanta Braves,8,New York Yankees,1
"Friday, June 21, 2024",Minnesota Twins,5,Oakland Athletics,6
"Friday, June 21, 2024",Arizona D'Backs,5,Philadelphia Phillies,4
"Friday, June 21, 2024",Tampa Bay Rays,10,Pittsburgh Pirates,3
"Friday, June 21, 2024",Milwaukee Brewers,5,San Diego Padres,9
"Friday, June 21, 2024",Kansas City Royals,2,Texas Rangers,6
"Saturday, June 22, 2024",New York Mets,1,Chicago Cubs,8
"Saturday, June 22, 2024",Boston Red Sox,4,Cincinnati Reds,3
"Saturday, June 22, 2024",Toronto Blue Jays,3,Cleveland Guardians,6
"Saturday, June 22, 2024",Washington Nationals,7,Colorado Rockies,8
"Saturday, June 22, 2024",Chicago White Sox,5,Detroit Tigers,1
"Saturday, June 22, 2024",Baltimore Orioles,1,Houston Astros,5
